Encoding,Horizon,Problem,counter wrac1_y_wrbc1,counter wrbc1_b_wrcc1,counter wrcc1_x_wrdc1,counter wrdc1_b_wrec1,counter wrec1_y_wrfc1,Total
clingcon,720,./heu_105/result/Instancesv2_round/random/fixlen4/26noon/p03[count=350]_OPT_dhchange_720.txt,18688300,11808000,11907240,,,42403540
clingcon,720,./heu_105/result/Instancesv2_round/random/fixlen4/26noon/p04[count=350]_OPT_dhchange_720.txt,18688300,11808000,11907240,13207200,,55610740
clingcon,720,./heu_105/result/Instancesv2_round/random/fixlen4/26noon/p05[count=350]_OPT_dhchange_720.txt,18688300,11808000,11907240,13207200,14913800,70524540
clingcon,720,./heu_105/result/Instancesv2_round/random/fixlen4/26noon/p02[count=350]_OPT_dhchange_720.txt,18688300,11808000,,,,30496300
clingcon,720,./heu_105/result/Instancesv2_round/random/fixlen4/26noon/p01[count=350]_OPT_dhchange_720.txt,18688300,,,,,18688300
clingcon,720,./heu_105/result/Instancesv2_round/sipp/fixlen4/26noon/p03[count=350]_OPT_dhchange_720.txt,22988880,14457600,14841400,,,52287880
clingcon,720,./heu_105/result/Instancesv2_round/sipp/fixlen4/26noon/p04[count=350]_OPT_dhchange_720.txt,22988880,14457600,14796700,15127000,,67370180
clingcon,720,./heu_105/result/Instancesv2_round/sipp/fixlen4/26noon/p05[count=350]_OPT_dhchange_720.txt,22988880,14457600,14841400,14992300,17103300,84383480
clingcon,720,./heu_105/result/Instancesv2_round/sipp/fixlen4/26noon/p02[count=350]_OPT_dhchange_720.txt,22981240,14515200,,,,37496440
clingcon,720,./heu_105/result/Instancesv2_round/sipp/fixlen4/26noon/p01[count=350]_OPT_dhchange_720.txt,23010060,,,,,23010060
clingcon,720,./heu_105/result/Instancesv2_round/sippv2/fixlen4/26noon/p03[count=350]_OPT_dhchange_720.txt,22988880,14457600,14841400,,,52287880
clingcon,720,./heu_105/result/Instancesv2_round/sippv2/fixlen4/26noon/p04[count=350]_OPT_dhchange_720.txt,22988880,14457600,14841400,15321800,,67609680
clingcon,720,./heu_105/result/Instancesv2_round/sippv2/fixlen4/26noon/p05[count=350]_OPT_dhchange_720.txt,22988880,14457600,14841400,15055300,17185700,84528880
clingcon,720,./heu_105/result/Instancesv2_round/sippv2/fixlen4/26noon/p02[count=350]_OPT_dhchange_720.txt,23167700,14688000,,,,37855700
clingcon,720,./heu_105/result/Instancesv2_round/sippv2/fixlen4/26noon/p01[count=350]_OPT_dhchange_720.txt,23182660,,,,,23182660
