Encoding,Horizon,Problem,counter wrac1_y_wrbc1,counter wrbc1_b_wrcc1,counter wrcc1_x_wrdc1,counter wrdc1_b_wrec1,counter wrec1_y_wrfc1,Total
clingcon,780,./heu_105/result/Instancesv2_round/random/fixlen4/muse/p03[count=350]_OPT_dhchange_780.txt,17787800,11183100,14954800,,,43925700
clingcon,780,./heu_105/result/Instancesv2_round/random/fixlen4/muse/p04[count=350]_OPT_dhchange_780.txt,17787800,11183100,14954800,27246100,,71171800
clingcon,780,./heu_105/result/Instancesv2_round/random/fixlen4/muse/p05[count=350]_OPT_dhchange_780.txt,17787800,11183100,14954800,27246100,30322500,101494300
clingcon,780,./heu_105/result/Instancesv2_round/random/fixlen4/muse/p02[count=350]_OPT_dhchange_780.txt,17787800,11183100,,,,28970900
clingcon,780,./heu_105/result/Instancesv2_round/random/fixlen4/muse/p01[count=350]_OPT_dhchange_780.txt,17787800,,,,,17787800
clingcon,780,./heu_105/result/Instancesv2_round/sipp/fixlen4/muse/p03[count=350]_OPT_dhchange_780.txt,21945400,15268000,19064300,,,56277700
clingcon,780,./heu_105/result/Instancesv2_round/sipp/fixlen4/muse/p04[count=350]_OPT_dhchange_780.txt,21945400,15268000,19064300,29955400,,86233100
clingcon,780,./heu_105/result/Instancesv2_round/sipp/fixlen4/muse/p05[count=350]_OPT_dhchange_780.txt,21946800,15268000,19064300,29955400,30346400,116580900
clingcon,780,./heu_105/result/Instancesv2_round/sipp/fixlen4/muse/p02[count=350]_OPT_dhchange_780.txt,21945400,15268000,,,,37213400
clingcon,780,./heu_105/result/Instancesv2_round/sipp/fixlen4/muse/p01[count=350]_OPT_dhchange_780.txt,21945400,,,,,21945400
clingcon,780,./heu_105/result/Instancesv2_round/sippv2/fixlen4/muse/p03[count=350]_OPT_dhchange_780.txt,21158300,14582600,18270400,,,54011300
clingcon,780,./heu_105/result/Instancesv2_round/sippv2/fixlen4/muse/p04[count=350]_OPT_dhchange_780.txt,21158300,14582600,18270400,31052300,,85063600
clingcon,780,./heu_105/result/Instancesv2_round/sippv2/fixlen4/muse/p05[count=350]_OPT_dhchange_780.txt,21158300,14582600,18270400,30694300,34195300,118900900
clingcon,780,./heu_105/result/Instancesv2_round/sippv2/fixlen4/muse/p02[count=350]_OPT_dhchange_780.txt,21158300,14582600,,,,35740900
clingcon,780,./heu_105/result/Instancesv2_round/sippv2/fixlen4/muse/p01[count=350]_OPT_dhchange_780.txt,21325700,,,,,21325700
