Encoding,Horizon,Problem,counter wrac1_y_wrbc1,counter wrbc1_b_wrcc1,counter wrcc1_x_wrdc1,counter wrdc1_b_wrec1,counter wrec1_y_wrfc1,Total
clingcon,600,./heu_105/result/Instancesv2_round/random/fixlen4/26noon/p03[count=350]_OPT_dhextphs_600.txt,17216520,9964800,9723840,,,36905160
clingcon,600,./heu_105/result/Instancesv2_round/random/fixlen4/26noon/p04[count=350]_OPT_dhextphs_600.txt,17216520,9964800,9723840,11037500,,47942660
clingcon,600,./heu_105/result/Instancesv2_round/random/fixlen4/26noon/p05[count=350]_OPT_dhextphs_600.txt,17216520,9964800,9723840,11037500,11982800,59925460
clingcon,600,./heu_105/result/Instancesv2_round/random/fixlen4/26noon/p02[count=350]_OPT_dhextphs_600.txt,17216520,9964800,,,,27181320
clingcon,600,./heu_105/result/Instancesv2_round/random/fixlen4/26noon/p01[count=350]_OPT_dhextphs_600.txt,17216520,,,,,17216520
clingcon,600,./heu_105/result/Instancesv2_round/sipp/fixlen4/26noon/p03[count=350]_OPT_dhextphs_600.txt,19944660,12614400,12397820,,,44956880
clingcon,600,./heu_105/result/Instancesv2_round/sipp/fixlen4/26noon/p04[count=350]_OPT_dhextphs_600.txt,19944660,12614400,12397820,13005800,,57962680
clingcon,600,./heu_105/result/Instancesv2_round/sipp/fixlen4/26noon/p05[count=350]_OPT_dhextphs_600.txt,19944660,12614400,12397820,13005800,15031600,72994280
clingcon,600,./heu_105/result/Instancesv2_round/sipp/fixlen4/26noon/p02[count=350]_OPT_dhextphs_600.txt,19944660,12614400,,,,32559060
clingcon,600,./heu_105/result/Instancesv2_round/sipp/fixlen4/26noon/p01[count=350]_OPT_dhextphs_600.txt,19944660,,,,,19944660
clingcon,600,./heu_105/result/Instancesv2_round/sippv2/fixlen4/26noon/p03[count=350]_OPT_dhextphs_600.txt,20142580,12614400,12397820,,,45154800
clingcon,600,./heu_105/result/Instancesv2_round/sippv2/fixlen4/26noon/p04[count=350]_OPT_dhextphs_600.txt,20142580,12614400,12397820,13065900,,58220700
clingcon,600,./heu_105/result/Instancesv2_round/sippv2/fixlen4/26noon/p05[count=350]_OPT_dhextphs_600.txt,20142580,12614400,12397820,13065900,15114000,73334700
clingcon,600,./heu_105/result/Instancesv2_round/sippv2/fixlen4/26noon/p02[count=350]_OPT_dhextphs_600.txt,20142580,12614400,,,,32756980
clingcon,600,./heu_105/result/Instancesv2_round/sippv2/fixlen4/26noon/p01[count=350]_OPT_dhextphs_600.txt,20142580,,,,,20142580
