Encoding,Horizon,Problem,counter wrac1_y_wrbc1,counter wrbc1_b_wrcc1,counter wrcc1_x_wrdc1,counter wrdc1_b_wrec1,counter wrec1_y_wrfc1,Total
clingcon,600,./heu_105/result/Instancesv2_round/random/fixlen4/muse/p03[count=350]_OPT_dhxphase_plus_600.txt,14611600,9177100,11403000,,,35191700
clingcon,600,./heu_105/result/Instancesv2_round/random/fixlen4/muse/p04[count=350]_OPT_dhxphase_plus_600.txt,14603400,9177100,11403000,22466400,,57649900
clingcon,600,./heu_105/result/Instancesv2_round/random/fixlen4/muse/p05[count=350]_OPT_dhxphase_plus_600.txt,14608500,8753800,11403000,22466400,24660600,81892300
clingcon,600,./heu_105/result/Instancesv2_round/random/fixlen4/muse/p02[count=350]_OPT_dhxphase_plus_600.txt,14611600,9177100,,,,23788700
clingcon,600,./heu_105/result/Instancesv2_round/random/fixlen4/muse/p01[count=350]_OPT_dhxphase_plus_600.txt,14663800,,,,,14663800
clingcon,600,./heu_105/result/Instancesv2_round/sipp/fixlen4/muse/p03[count=350]_OPT_dhxphase_plus_600.txt,17620400,12404300,14578500,,,44603200
clingcon,600,./heu_105/result/Instancesv2_round/sipp/fixlen4/muse/p04[count=350]_OPT_dhxphase_plus_600.txt,17529400,12264800,14438400,23710200,,67942800
clingcon,600,./heu_105/result/Instancesv2_round/sipp/fixlen4/muse/p05[count=350]_OPT_dhxphase_plus_600.txt,17630800,12153300,14531800,24531200,26555800,95402900
clingcon,600,./heu_105/result/Instancesv2_round/sipp/fixlen4/muse/p02[count=350]_OPT_dhxphase_plus_600.txt,17620400,12404300,,,,30024700
clingcon,600,./heu_105/result/Instancesv2_round/sipp/fixlen4/muse/p01[count=350]_OPT_dhxphase_plus_600.txt,17583500,,,,,17583500
clingcon,600,./heu_105/result/Instancesv2_round/sippv2/fixlen4/muse/p03[count=350]_OPT_dhxphase_plus_600.txt,17315300,12131100,14298300,,,43744700
clingcon,600,./heu_105/result/Instancesv2_round/sippv2/fixlen4/muse/p04[count=350]_OPT_dhxphase_plus_600.txt,17312700,12092000,14298300,25217600,,68920600
clingcon,600,./heu_105/result/Instancesv2_round/sippv2/fixlen4/muse/p05[count=350]_OPT_dhxphase_plus_600.txt,17312700,12092000,14298300,24941700,27709400,96354100
clingcon,600,./heu_105/result/Instancesv2_round/sippv2/fixlen4/muse/p02[count=350]_OPT_dhxphase_plus_600.txt,17360100,12131100,,,,29491200
clingcon,600,./heu_105/result/Instancesv2_round/sippv2/fixlen4/muse/p01[count=350]_OPT_dhxphase_plus_600.txt,17055200,,,,,17055200
