Encoding,Horizon,Problem,counter wrac1_y_wrbc1,counter wrbc1_b_wrcc1,counter wrcc1_x_wrdc1,counter wrdc1_b_wrec1,counter wrec1_y_wrfc1,Total
clingcon,600,./Instancesv2/sippv2/fixlen4/26morn/p03[count=350]_asp_bound_hcafe_600.txt,16150740 ,13824000 ,15204720 , , ,45179460
clingcon,600,./Instancesv2/sippv2/fixlen4/26morn/p04[count=350]_asp_bound_hcafe_600.txt,16150740 ,13824000 ,15204720 ,13937100 , ,59116560
clingcon,600,./Instancesv2/sippv2/fixlen4/26morn/p05[count=350]_asp_bound_hcafe_600.txt,16150740 ,13824000 ,15204720 ,13937100 ,14266800 ,73383360
clingcon,600,./Instancesv2/sippv2/fixlen4/26morn/p02[count=350]_asp_bound_hcafe_600.txt,16150740 ,13824000 , , , ,29974740
clingcon,600,./Instancesv2/sippv2/fixlen4/26morn/p01[count=350]_asp_bound_hcafe_600.txt,16315700 , , , , ,16315700
clingcon,600,./Instancesv2/sippv2/fixlen4/26noon/p03[count=350]_asp_bound_hcafe_600.txt,20243040 ,15552000 ,15061480 , , ,50856520
clingcon,600,./Instancesv2/sippv2/fixlen4/26noon/p04[count=350]_asp_bound_hcafe_600.txt,20243040 ,15552000 ,15061480 ,14688100 , ,65544620
clingcon,600,./Instancesv2/sippv2/fixlen4/26noon/p05[count=350]_asp_bound_hcafe_600.txt,20243040 ,15552000 ,15061480 ,14688100 ,16679600 ,82224220
clingcon,600,./Instancesv2/sippv2/fixlen4/26noon/p02[count=350]_asp_bound_hcafe_600.txt,20243040 ,15552000 , , , ,35795040
clingcon,600,./Instancesv2/sippv2/fixlen4/26noon/p01[count=350]_asp_bound_hcafe_600.txt,20614980 , , , , ,20614980
clingcon,600,./Instancesv2/sippv2/fixlen4/26eve/p03[count=350]_asp_bound_hcafe_600.txt,21805740 ,14572800 ,15025920 , , ,51404460
clingcon,600,./Instancesv2/sippv2/fixlen4/26eve/p04[count=350]_asp_bound_hcafe_600.txt,21880120 ,14572800 ,15025920 ,15495500 , ,66974340
