Encoding,Horizon,Problem,counter wrac1_y_wrbc1,counter wrbc1_b_wrcc1,counter wrcc1_x_wrdc1,counter wrdc1_b_wrec1,counter wrec1_y_wrfc1,Total
clingcon,600,./Instancesv2/sippv2/fixlen4/muse/p03[count=350],195.274,143.379,166.8,,,505.453
clingcon,600,./Instancesv2/sippv2/fixlen4/muse/p04[count=350],194.957,143.379,166.8,219.861,,724.997
clingcon,600,./Instancesv2/sippv2/fixlen4/muse/p05[count=350],195.274,143.379,166.8,219.861,235.894,961.208
clingcon,600,./Instancesv2/sippv2/fixlen4/muse/p02[count=350],195.274,143.379,,,,338.653
clingcon,600,./Instancesv2/sippv2/fixlen4/muse/p01[count=350],195.274,,,,,195.274
clingcon,600,./Instancesv2/sippv2/fixlen4/26morn/p03[count=350],163.157,138.24,152.0472,,,453.4442
clingcon,600,./Instancesv2/sippv2/fixlen4/26morn/p04[count=350],162.7892,138.24,152.0472,136.561,,589.6374
clingcon,600,./Instancesv2/sippv2/fixlen4/26morn/p05[count=350],162.7892,138.24,152.0472,136.561,145.14,734.7774
clingcon,600,./Instancesv2/sippv2/fixlen4/26morn/p02[count=350],163.157,138.24,,,,301.397
clingcon,600,./Instancesv2/sippv2/fixlen4/26noon/p03[count=350],207.9172,155.52,150.6148,,,514.052
clingcon,600,./Instancesv2/sippv2/fixlen4/26noon/p04[count=350],207.9172,155.52,150.6148,146.823,,660.875
clingcon,600,./Instancesv2/sippv2/fixlen4/26noon/p05[count=350],207.9172,155.52,150.6148,147.134,167.62,828.806
clingcon,600,./Instancesv2/sippv2/fixlen4/26noon/p02[count=350],207.9172,155.52,,,,363.4372
clingcon,600,./Instancesv2/sippv2/fixlen4/26noon/p01[count=350],207.9172,,,,,207.9172
clingcon,600,./Instancesv2/sippv2/fixlen4/26eve/p03[count=350],220.3774,146.304,150.2592,,,516.9406
clingcon,600,./Instancesv2/sippv2/fixlen4/26eve/p04[count=350],219.653,146.304,150.2592,154.839,,671.0552
clingcon,600,./Instancesv2/sippv2/fixlen4/26eve/p05[count=350],219.653,146.304,150.2592,154.839,189.869,860.9242
clingcon,600,./Instancesv2/sippv2/fixlen4/26eve/p02[count=350],220.3774,149.184,,,,369.5614
clingcon,600,./Instancesv2/sippv2/fixlen4/30morn/p03[count=350],71.203,58.752,64.7914,,,194.7464
clingcon,600,./Instancesv2/sippv2/fixlen4/30morn/p04[count=350],71.203,58.752,64.7914,63.064,,257.8104
clingcon,600,./Instancesv2/sippv2/fixlen4/30morn/p05[count=350],71.203,58.752,64.7914,62.803,63.33,320.8794
clingcon,600,./Instancesv2/sippv2/fixlen4/30morn/p02[count=350],71.703,58.752,,,,130.455
clingcon,600,./Instancesv2/sippv2/fixlen4/30morn/p01[count=350],71.703,,,,,71.703
clingcon,600,./Instancesv2/sippv2/fixlen4/30noon/p03[count=350],208.6002,153.216,152.4028,,,514.219
clingcon,600,./Instancesv2/sippv2/fixlen4/30noon/p04[count=350],208.6002,153.216,152.4028,162.465,,676.684
clingcon,600,./Instancesv2/sippv2/fixlen4/30noon/p05[count=350],208.6002,153.216,152.4028,162.465,177.157,853.841
clingcon,600,./Instancesv2/sippv2/fixlen4/30noon/p02[count=350],208.6002,153.216,,,,361.8162
clingcon,600,./Instancesv2/sippv2/fixlen4/30noon/p01[count=350],208.6002,,,,,208.6002
clingcon,600,./Instancesv2/sippv2/fixlen4/30eve/p03[count=350],141.4572,122.688,128.6776,,,392.8228
clingcon,600,./Instancesv2/sippv2/fixlen4/30eve/p04[count=350],141.4572,122.688,128.6776,131.318,,524.1408
clingcon,600,./Instancesv2/sippv2/fixlen4/30eve/p05[count=350],141.4572,122.688,128.6776,131.26,143.843,667.9258
clingcon,600,./Instancesv2/sippv2/fixlen4/30eve/p02[count=350],141.4572,122.688,,,,264.1452
clingcon,600,./Instancesv2/sippv2/fixlen4/30eve/p01[count=350],141.4572,,,,,141.4572
clingcon,660,./Instancesv2/sippv2/fixlen4/muse/p03[count=350],209.654,158.926,181.278,,,549.858
clingcon,660,./Instancesv2/sippv2/fixlen4/muse/p04[count=350],209.654,158.926,181.278,244.491,,794.349
clingcon,660,./Instancesv2/sippv2/fixlen4/muse/p05[count=350],209.654,158.926,181.278,245.312,264.851,1060.021
clingcon,660,./Instancesv2/sippv2/fixlen4/muse/p02[count=350],209.654,158.926,,,,368.58
clingcon,660,./Instancesv2/sippv2/fixlen4/muse/p01[count=350],209.654,,,,,209.654
clingcon,660,./Instancesv2/sippv2/fixlen4/26morn/p04[count=350],172.5834,149.184,169.0332,163.609,,654.4096
clingcon,660,./Instancesv2/sippv2/fixlen4/26noon/p03[count=350],227.854,168.192,167.1538,,,563.1998
clingcon,660,./Instancesv2/sippv2/fixlen4/26noon/p04[count=350],227.854,168.192,167.1538,166.738,,729.9378
clingcon,660,./Instancesv2/sippv2/fixlen4/26noon/p05[count=350],227.854,168.192,167.1538,166.738,185.748,915.6858
clingcon,660,./Instancesv2/sippv2/fixlen4/26noon/p02[count=350],227.854,168.192,,,,396.046
clingcon,660,./Instancesv2/sippv2/fixlen4/26noon/p01[count=350],227.854,,,,,227.854
clingcon,660,./Instancesv2/sippv2/fixlen4/26eve/p04[count=350],240.1594,155.52,161.1358,159.597,,716.4122
clingcon,660,./Instancesv2/sippv2/fixlen4/26eve/p05[count=350],240.1594,155.52,161.1358,159.597,196.225,912.6372
clingcon,660,./Instancesv2/sippv2/fixlen4/26eve/p01[count=350],241.8584,,,,,241.8584
clingcon,660,./Instancesv2/sippv2/fixlen4/30morn/p03[count=350],75.55,61.632,72.8374,,,210.0194
clingcon,660,./Instancesv2/sippv2/fixlen4/30morn/p04[count=350],75.55,61.632,72.8374,68.85,,278.8694
clingcon,660,./Instancesv2/sippv2/fixlen4/30morn/p05[count=350],75.55,61.632,72.8374,68.85,72.394,351.2634
clingcon,660,./Instancesv2/sippv2/fixlen4/30morn/p02[count=350],75.55,61.632,,,,137.182
clingcon,660,./Instancesv2/sippv2/fixlen4/30morn/p01[count=350],75.55,,,,,75.55
clingcon,660,./Instancesv2/sippv2/fixlen4/30noon/p03[count=350],234.7798,171.072,174.7528,,,580.6046
clingcon,660,./Instancesv2/sippv2/fixlen4/30noon/p04[count=350],234.7798,171.072,174.7528,174.986,,755.5906
clingcon,660,./Instancesv2/sippv2/fixlen4/30noon/p05[count=350],234.7798,171.072,174.7528,174.986,191.4,946.9906
clingcon,660,./Instancesv2/sippv2/fixlen4/30noon/p02[count=350],234.7798,172.8,,,,407.5798
clingcon,660,./Instancesv2/sippv2/fixlen4/30noon/p01[count=350],234.7798,,,,,234.7798
clingcon,660,./Instancesv2/sippv2/fixlen4/30eve/p03[count=350],148.2308,129.024,149.6866,,,426.9414
clingcon,660,./Instancesv2/sippv2/fixlen4/30eve/p04[count=350],148.2308,129.024,146.5576,143.122,,566.9344
